Monument;lat;long;City
Duomo Di Milano;45.464098;9.191926;Milan
Navigli;45.4477413811564;9.169571064068595;Milan
Piazza Gae Aulenti;45.48378709120793;9.189940;Milan
Teatro della Scala;45.467402;9.189639885945848;Milan
Bosco Verticale;45.48568930392492;9.190674475003226;Milan
Corso Vittorio Emanuele II;45.465567737473684;9.19540309682683;Milan
St. Stephen’s Cathedral;48.20852577021508;16.373449239305153;Vienna
Centro Storico di Vienna;48.20883626952154;16.3698072969758;Vienna
Parlamento d'Austria;48.207966;16.359447;Vienna
Stephansplaz;48.20884776949585;16.373762327658124;Vienna
Castello del Belvedere di Vienna;48.191590;16.380916;Vienna
Houses of Parliament;51.499479;-0.124809;London
Big Ben;51.500729;-0.124625;London
Buckingham Palace;51.501364;-0.141890;London
Piccadilly Circus;51.510006574648926;-0.1342701740010414;London
Covent Garden;51.51312719139209;-0.12497164128616164;London
Tower Bridge;51.506271975942354;-0.0749621868266155;London
Sagrada Familia;41.403630;2.174356;Barcelona
Casa Batllo;41.391700;2.164918;Barcelona
La Rambla;41.38572136560806;2.1698809696297627;Barcelona
Park Guell;41.414495;2.152694;Barcelona
Cattedrale Barcelona;41.383962;2.176199;Barcelona
Poble Espanyol;41.368809;2.148273;Barcelona
Van Gogh Museum;52.358416;4.881076;Amsterdam
Anne Frank Huis;52.375218;4.883977;Amsterdam
Central Station;52.378967985429256;4.899637997382662;Amsterdam
Dam Square;52.373070;4.892647;Amsterdam
Vondelpark;52.357995;4.868648;Amsterdam
Museum Quarter;52.35593175295463;4.885530153036792;Amsterdam
Torre Eiffel;48.858370;2.294481;Paris
Cimitero del Père-Lachaise;48.86182481147705;2.393300819306622;Paris
Cattedrale Notre-Dame De Paris;48.852968;2.349902;Paris
Arco Di Trionfo;48.873792;2.295028;Paris
Museo del Louvre;48.860836940503006;2.337880031388657;Paris
Pont Alexandre III;48.86407592011572;2.313580454682943;Paris
